[2018-10-25 00:01:39,788891] eccube.ERROR [NULL] [eec9401a] [NULL] [LogListener:logException:110] - Symfony\Component\HttpKernel\Exception\NotFoundHttpException: No route found for "GET /admin/plugin/plugin/snslogin/hello" (uncaught exception) at /home/ubuntu/workspace/vendor/symfony/http-kernel/EventListener/RouterListener.php line 159 {"exception":"[object] (Symfony\\Component\\HttpKernel\\Exception\\NotFoundHttpException(code: 0): No route found for \"GET /admin/plugin/plugin/snslogin/hello\" at /home/ubuntu/workspace/vendor/symfony/http-kernel/EventListener/RouterListener.php:159, Symfony\\Component\\Routing\\Exception\\ResourceNotFoundException(code: 0): No routes found for \"/admin/plugin/plugin/snslogin/hello\". at /home/ubuntu/workspace/vendor/symfony/routing/Matcher/UrlMatcher.php:98)"}  [GET, /html/admin/plugin/plugin/snslogin/hello, 10.240.0.64, NULL, Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
[2018-10-25 10:28:12,953791] eccube.INFO  [d648d11c] [7b2c938a] [NULL] [LogListener:logResponse:96] - < 404   [GET, /html/amdin, 10.240.1.65, NULL, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36]
[2018-10-25 10:28:29,805555] eccube.INFO  [NULL] [62fcde34] [NULL] [RouterListener:onKernelRequest:146] - Matched route "n/a". {"route_parameters":{"_controller":"[object] (Closure: {})","_route":null,"url":"/html/admin/"},"request_uri":"http://ec-cute-kaku87.c9users.io/html/admin"}  [GET, /html/admin, 10.240.1.50, NULL, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36]
[2018-10-25 10:28:29,807086] eccube.INFO  [d648d11c] [62fcde34] [NULL] [AnonymousAuthenticationListener:handle:62] - Populated the TokenStorage with an anonymous Token.   [GET, /html/admin, 10.240.1.50, NULL, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36]
[2018-10-25 10:28:29,809482] eccube.INFO  [d648d11c] [62fcde34] [NULL] [LogListener:logRequest:83] - > GET /html/admin   [GET, /html/admin, 10.240.1.50, NULL, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36]
[2018-10-25 10:28:29,886254] eccube.INFO  [d648d11c] [62fcde34] [NULL] [LogListener:logResponse:94] - < 301 /html/admin/   [GET, /html/admin, 10.240.1.50, NULL, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36]
[2018-10-25 10:28:30,125800] eccube.INFO  [NULL] [191fd03d] [NULL] [RouterListener:onKernelRequest:146] - Matched route "admin_homepage". {"route_parameters":{"_controller":"\\Eccube\\Controller\\Admin\\AdminController::index","_route":"admin_homepage"},"request_uri":"http://ec-cute-kaku87.c9users.io/html/admin/"}  [GET, /html/admin/, 10.240.1.191, NULL, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36]
[2018-10-25 10:28:30,127003] eccube.INFO  [d648d11c] [191fd03d] [NULL] [AnonymousAuthenticationListener:handle:62] - Populated the TokenStorage with an anonymous Token.   [GET, /html/admin/, 10.240.1.191, NULL, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36]
[2018-10-25 10:28:30,133220] eccube.INFO  [d648d11c] [191fd03d] [NULL] [RouterListener:onKernelRequest:146] - Matched route "admin_login". {"route_parameters":{"_controller":"\\Eccube\\Controller\\Admin\\AdminController::login","_route":"admin_login"},"request_uri":"http://ec-cute-kaku87.c9users.io/html/admin/login"}  [GET, /html/admin/, 10.240.1.191, NULL, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36]
[2018-10-25 10:28:30,286776] eccube.INFO  [d648d11c] [191fd03d] [NULL] [LogListener:logResponse:96] - < 401   [GET, /html/admin/, 10.240.1.191, NULL, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36]
[2018-10-25 10:31:33,426423] eccube.INFO  [NULL] [4e4a07f1] [NULL] [RouterListener:onKernelRequest:146] - Matched route "admin_login_check". {"route_parameters":{"_controller":null,"_route":"admin_login_check"},"request_uri":"http://ec-cute-kaku87.c9users.io/html/admin/login_check"}  [POST, /html/admin/login_check, 10.240.1.65, https://ec-cute-kaku87.c9users.io/html/admin/, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36]
