[2019-01-18 17:00:02,825043] admin.INFO  [c5eec425] [33945bb8] [2] [LogListener:onKernelTerminate:95] - PROCESS END ["admin_store_plugin"]  [GET, /html/admin/store/plugin, 10.240.1.191, http://ec-cute-kaku87.c9users.io/html/admin/, Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36]
[2019-01-18 17:00:07,146122] admin.INFO  [NULL] [8876e2e7] [NULL] [LogListener:onKernelRequestEarly:47] - INIT   [POST, /html/admin/store/plugin/4/uninstall, 10.240.1.191, http://ec-cute-kaku87.c9users.io/html/admin/store/plugin, Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36]
[2019-01-18 17:00:07,176882] admin.INFO  [c5eec425] [8876e2e7] [2] [LogListener:onKernelRequest:60] - PROCESS START ["admin_store_plugin_uninstall"]  [POST, /html/admin/store/plugin/4/uninstall, 10.240.1.191, http://ec-cute-kaku87.c9users.io/html/admin/store/plugin, Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36]
[2019-01-18 17:00:07,208711] admin.INFO  [c5eec425] [8876e2e7] [2] [LogListener:onKernelController:73] - LOGIC START ["admin_store_plugin_uninstall"]  [POST, /html/admin/store/plugin/4/uninstall, 10.240.1.191, http://ec-cute-kaku87.c9users.io/html/admin/store/plugin, Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36]
[2019-01-18 17:00:07,250005] admin.INFO  [c5eec425] [8876e2e7] [2] [LogListener:onKernelResponse:86] - LOGIC END ["admin_store_plugin_uninstall"]  [POST, /html/admin/store/plugin/4/uninstall, 10.240.1.191, http://ec-cute-kaku87.c9users.io/html/admin/store/plugin, Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36]
[2019-01-18 17:00:07,260147] admin.INFO  [c5eec425] [8876e2e7] [2] [LogListener:onKernelTerminate:95] - PROCESS END ["admin_store_plugin_uninstall"]  [POST, /html/admin/store/plugin/4/uninstall, 10.240.1.191, http://ec-cute-kaku87.c9users.io/html/admin/store/plugin, Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36]
[2019-01-18 17:00:07,788374] admin.INFO  [NULL] [b9a81936] [NULL] [LogListener:onKernelRequestEarly:47] - INIT   [GET, /html/admin/store/plugin, 10.240.0.64, http://ec-cute-kaku87.c9users.io/html/admin/store/plugin, Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36]
[2019-01-18 17:00:07,827545] admin.INFO  [c5eec425] [b9a81936] [2] [LogListener:onKernelRequest:60] - PROCESS START ["admin_store_plugin"]  [GET, /html/admin/store/plugin, 10.240.0.64, http://ec-cute-kaku87.c9users.io/html/admin/store/plugin, Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36]
[2019-01-18 17:00:07,887358] admin.INFO  [c5eec425] [b9a81936] [2] [LogListener:onKernelController:73] - LOGIC START ["admin_store_plugin"]  [GET, /html/admin/store/plugin, 10.240.0.64, http://ec-cute-kaku87.c9users.io/html/admin/store/plugin, Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36]
[2019-01-18 17:00:08,625591] admin.INFO  [c5eec425] [b9a81936] [2] [LogListener:onKernelResponse:86] - LOGIC END ["admin_store_plugin"]  [GET, /html/admin/store/plugin, 10.240.0.64, http://ec-cute-kaku87.c9users.io/html/admin/store/plugin, Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36]
[2019-01-18 17:00:08,629339] admin.INFO  [c5eec425] [b9a81936] [2] [LogListener:onKernelTerminate:95] - PROCESS END ["admin_store_plugin"]  [GET, /html/admin/store/plugin, 10.240.0.64, http://ec-cute-kaku87.c9users.io/html/admin/store/plugin, Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36]
[2019-01-18 17:00:33,507041] admin.INFO  [NULL] [bab45f44] [NULL] [LogListener:onKernelRequestEarly:47] - INIT   [GET, /html/admin/plugin/plugingenerator/config, 10.240.0.213, http://ec-cute-kaku87.c9users.io/html/admin/store/plugin, Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36]
[2019-01-18 17:00:33,545059] admin.INFO  [c5eec425] [bab45f44] [2] [LogListener:onKernelRequest:60] - PROCESS START ["plugin_PluginGenerator_config"]  [GET, /html/admin/plugin/plugingenerator/config, 10.240.0.213, http://ec-cute-kaku87.c9users.io/html/admin/store/plugin, Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36]
